127.0.0.1 - - [09/Sep/2024:09:24:38 +0900] "GET / HTTP/1.1" 404 807
192.168.1.180 - - [09/Sep/2024:09:24:40 +0900] "GET /mini/ HTTP/1.1" 200 34158
192.168.1.180 - - [09/Sep/2024:09:24:40 +0900] "GET /mini/css/header.css HTTP/1.1" 200 1408
192.168.1.180 - - [09/Sep/2024:09:24:40 +0900] "GET /mini/images/main/logo.png HTTP/1.1" 200 8868
192.168.1.180 - - [09/Sep/2024:09:24:40 +0900] "GET /mini/images/main/unjoin.png HTTP/1.1" 200 15191
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:41 +0900] "GET /mini/ HTTP/1.1" 200 34158
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:41 +0900] "GET /mini/images/main/unjoin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:41 +0900] "GET /mini/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:41 +0900] "GET /mini/images/main/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%9D%8C%EC%8B%9D1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2024:09:24:42 +0900] "GET /mini/images/main/%EC%B6%95%EC%A0%9C5.jpeg HTTP/1.1" 304 -
